Date,fgroup,ratio,lower,upper
2024-05-18,Invertivore,0.22600041275829238,0.18269610699327746,0.27956910197762425
2024-05-27,Invertivore,0.2265466988770881,0.18300932399167733,0.28044148600013435
2024-06-05,Invertivore,0.2270943054736649,0.18331594792605238,0.281327534030862
2024-06-15,Invertivore,0.22764323573986983,0.18361601766468574,0.28222724486244316
2024-06-24,Invertivore,0.22819349287526466,0.1839095760122208,0.2831406135543114
2024-07-03,Invertivore,0.22874508008714547,0.18419666952600466,0.28406763161745174
2024-07-12,Invertivore,0.22929800059056094,0.1844773483280567,0.28500828720353244
2024-07-21,Invertivore,0.229852257608331,0.18475166591370282,0.28596256529737774
2024-07-30,Invertivore,0.230407854371066,0.18501967895788668,0.28693044791177025
2024-08-08,Invertivore,0.23096479411718515,0.18528144712012742,0.287911914283612
2024-08-17,Invertivore,0.23152308009293543,0.18553703284905315,0.288906941070516
2024-08-26,Invertivore,0.23208271555241072,0.18578650118738757,0.2899155025469511
2024-09-05,Invertivore,0.23264370375757065,0.18602991957821363,0.29093757079911553
2024-09-14,Invertivore,0.23320604797825975,0.18626735767328267,0.29197311591777164
2024-09-23,Invertivore,0.23376975149222623,0.18649888714407406,0.2930221061883352
2024-10-02,Invertivore,0.23433481758514124,0.18672458149625412,0.2940845082775726
2024-10-11,Invertivore,0.23490124955061836,0.1869445158881165,0.2951602874163233
2024-10-20,Invertivore,0.23546905069023175,0.18715876695352496,0.29624940757772317
2024-10-29,Invertivore,0.23603822431353677,0.18736741262982073,0.2973518316504748
2024-11-07,Invertivore,0.23660877373808836,0.1875705319910901,0.2984675216067586
2024-11-16,Invertivore,0.2371807022894606,0.18776820508713457,0.29959643866445085
2024-11-26,Invertivore,0.23775401330126628,0.18796051278842565,0.3007385434433628
2024-12-05,Invertivore,0.23832871011517592,0.18814753663727277,0.3018937961152724
2024-12-14,Invertivore,0.23890479608093762,0.18832935870538198,0.3030621565475724
2024-12-23,Invertivore,0.23948227455639648,0.18850606145793358,0.30424358444040644
2025-01-01,Invertivore,0.24006114890751407,0.18867772762426122,0.30543803945720904
2025-01-10,Invertivore,0.24064142250838835,0.1888444400751751,0.30664548134860936
2025-01-19,Invertivore,0.2412230987412728,0.18900628170693007,0.3078658700696946
2025-01-28,Invertivore,0.2418061809965967,0.18916333533180837,0.30909916589066894
2025-02-06,Invertivore,0.24239067267298464,0.18931568357525064,0.31034532950096705
2025-02-16,Invertivore,0.242976577177276,0.18946340877944406,0.311604322106919
2025-02-25,Invertivore,0.24356389792454558,0.18960659291325044,0.31287610552308337
2025-03-06,Invertivore,0.24415263833812284,0.18974531748833312,0.3141606422573852
2025-03-15,Invertivore,0.2447428018496121,0.18987966348132587,0.3154578955902215
2025-03-24,Invertivore,0.24533439189891265,0.19000971126186855,0.3167678296477053
2025-04-02,Invertivore,0.2459274119342384,0.19013554052632167,0.3180904094692381
2025-04-11,Invertivore,0.24652186541213844,0.19025723023696148,0.31942560106960943
2025-04-20,Invertivore,0.24711775579751707,0.1903748585664483,0.3207733714958293
2025-04-29,Invertivore,0.2477150865636538,0.19048850284735314,0.3221336888789093
2025-05-09,Invertivore,0.2483138611922237,0.19059823952652646,0.32350652248080947
2025-05-18,Invertivore,0.24891408317331792,0.19070414412408654,0.3248918427367721
2025-05-27,Invertivore,0.2495157560054634,0.1908062911968057,0.3262896212932638
2025-06-05,Invertivore,0.2501188831956441,0.19090475430567427,0.3276998310417501
2025-06-14,Invertivore,0.25072346825932096,0.19099960598741947,0.32912244614851854
2025-06-23,Invertivore,0.25132951472045223,0.19109091772976433,0.33055744208077126
2025-07-02,Invertivore,0.25193702611151453,0.19117875995021213,0.33200479562919943
2025-07-11,Invertivore,0.25254600597352306,0.19126320197814636,0.33346448492724784
2025-07-20,Invertivore,0.253156457856052,0.1913443120400433,0.33493648946727544
2025-07-30,Invertivore,0.25376838531725604,0.19142215724759956,0.3364207901138095
2025-08-08,Invertivore,0.25438179192389027,0.1914968035885802,0.33791736911408343
2025-08-17,Invertivore,0.2549966812513315,0.19156831592020496,0.33942621010604745
2025-08-26,Invertivore,0.2556130568835989,0.19163675796489216,0.34094729812402635
2025-09-04,Invertivore,0.2562309224133747,0.19170219230819022,0.34248061960219883
2025-09-13,Invertivore,0.2568502814420254,0.1917646803987325,0.3440261623760603
2025-09-22,Invertivore,0.2574711375796229,0.19182428255005896,0.3455839156820281
2025-10-01,Invertivore,0.258093494444965,0.19188105794415417,0.3471538701553349
2025-10-10,Invertivore,0.2587173556655971,0.19193506463656237,0.34873601782635644
2025-10-20,Invertivore,0.25934272487783305,0.191986359562942,0.3503303521155049
2022-11-01,Mesopredator,0.4808271524635322,0.3699528666258448,0.6249302854571734
2022-11-10,Mesopredator,0.4819894034334531,0.3714289132693084,0.6254596148084317
2022-11-19,Mesopredator,0.4831544637857275,0.37290168795824064,0.6260047712688699
2022-11-28,Mesopredator,0.4843223403111683,0.374370939877282,0.6265660721459259
2022-12-07,Mesopredator,0.48549303981700315,0.37583641431731357,0.6271438389994668
2022-12-16,Mesopredator,0.48666656912691464,0.37729785280663847,0.6277383975125413
2022-12-25,Mesopredator,0.48784293508107907,0.3787549932562334,0.6283500773480698
2023-01-03,Mesopredator,0.4890221445362067,0.38020757011948736,0.6289792119910593
2023-01-12,Mesopredator,0.49020420436558204,0.38165531456680507,0.6296261385759666
2023-01-21,Mesopredator,0.4913891214591034,0.3830979546754051,0.6302911976988725
2023-01-31,Mesopredator,0.49257690272332355,0.38453521563459925,0.6309747332141906
2023-02-09,Mesopredator,0.4937675550814894,0.38596681996677545,0.6316770920156787
2023-02-18,Mesopredator,0.49496108547358314,0.3873924877642491,0.6323986238015958
2023-02-27,Mesopredator,0.4961575008563613,0.38881193694207467,0.6331396808239068
2023-03-08,Mesopredator,0.49735680820339745,0.3902248835068368,0.6339006176215239
2023-03-17,Mesopredator,0.4985590145051207,0.3916310418413529,0.6346817907376391
2023-03-26,Mesopredator,0.4997641267688574,0.39303012500513834,0.6354835584213124
2023-04-04,Mesopredator,0.5009721520188728,0.39442184505038597,0.6363062803135553
2023-04-13,Mesopredator,0.5021830972964099,0.3958059133531123,0.6371503171182535
2023-04-23,Mesopredator,0.5033969696597327,0.39718204095902604,0.6380160302583868
2023-05-02,Mesopredator,0.504613776184166,0.398549938943556,0.6389037815180945
2023-05-11,Mesopredator,0.5058335239621372,0.39990931878537317,0.6398139326712596
2023-05-20,Mesopredator,0.5070562201032169,0.4012598927526218,0.6407468450973961
2023-05-29,Mesopredator,0.5082818717341618,0.40260137430096393,0.6417028793857358
2023-06-07,Mesopredator,0.5095104859989544,0.40393347848241706,0.6426823949285277
2023-06-16,Mesopredator,0.5107420700588463,0.40525592236386104,0.6436857495046877
2023-06-25,Mesopredator,0.5119766310923987,0.4065684254539643,0.6447132988550333
2023-07-04,Mesopredator,0.5132141762955249,0.40787071013717757,0.6457653962504677
2023-07-14,Mesopredator,0.5144547128815321,0.40916250211333205,0.6468423920545671
2023-07-23,Mesopredator,0.5156982480811635,0.4104435308412818,0.6479446332821405
2023-08-01,Mesopredator,0.516944789142641,0.4117135299849347,0.6490724631554081
2023-08-10,Mesopredator,0.5181943433317053,0.4129722378599318,0.6502262206595429
2023-08-19,Mesopredator,0.519446917931661,0.41421939787916773,0.6514062400993895
